Stage,#,Category,Item,Format,Spec,Notes,Status
Stage 2 - Voting opens,250,Nom. Category 7 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,251,Nom. Category 7 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,252,Nom. Category 7 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,253,Nom. Category 7 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,254,Nom. Category 7 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,255,Nom. Category 7 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,256,Nom. Category 7 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,257,Nom. Category 7 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,258,Nom. Category 7 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,259,Nom. Category 7 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,260,Nom. Category 7 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,261,Nom. Category 7 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,262,Nom. Category 8 - page copy,Category title,Text,Kannada - one line,Current: Best background singer,
Stage 2 - Voting opens,263,Nom. Category 8 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,264,Nom. Category 8 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,265,Nom. Category 8 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,266,Nom. Category 8 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,267,Nom. Category 8 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,268,Nom. Category 8 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,269,Nom. Category 8 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,270,Nom. Category 8 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,271,Nom. Category 8 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,272,Nom. Category 8 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,273,Nom. Category 8 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,274,Nom. Category 8 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,275,Nom. Category 8 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,276,Nom. Category 9 - page copy,Category title,Text,Kannada - one line,Current: Excellent background singer,
Stage 2 - Voting opens,277,Nom. Category 9 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,278,Nom. Category 9 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,279,Nom. Category 9 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,280,Nom. Category 9 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,281,Nom. Category 9 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,282,Nom. Category 9 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,283,Nom. Category 9 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,284,Nom. Category 9 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,285,Nom. Category 9 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,286,Nom. Category 9 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,287,Nom. Category 9 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,288,Nom. Category 9 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,289,Nom. Category 9 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,290,Nom. Category 10 - page copy,Category title,Text,Kannada - one line,Current: Excellent screenplay,
Stage 2 - Voting opens,291,Nom. Category 10 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,292,Nom. Category 10 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,293,Nom. Category 10 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,294,Nom. Category 10 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,295,Nom. Category 10 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,296,Nom. Category 10 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,297,Nom. Category 10 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,298,Nom. Category 10 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,299,Nom. Category 10 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,300,Nom. Category 10 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,301,Nom. Category 10 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,302,Nom. Category 10 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,303,Nom. Category 10 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,304,Nom. Category 11 - page copy,Category title,Text,Kannada - one line,Current: Excellent song lyrics,
Stage 2 - Voting opens,305,Nom. Category 11 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,306,Nom. Category 11 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,307,Nom. Category 11 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,308,Nom. Category 11 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,309,Nom. Category 11 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,310,Nom. Category 11 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,311,Nom. Category 11 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,312,Nom. Category 11 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,313,Nom. Category 11 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,314,Nom. Category 11 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,315,Nom. Category 11 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,316,Nom. Category 11 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,317,Nom. Category 11 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,318,Nom. Category 12 - page copy,Category title,Text,Kannada - one line,Current: Excellent compilation,
Stage 2 - Voting opens,319,Nom. Category 12 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,320,Nom. Category 12 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,321,Nom. Category 12 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,322,Nom. Category 12 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,323,Nom. Category 12 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,324,Nom. Category 12 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,325,Nom. Category 12 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,326,Nom. Category 12 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,327,Nom. Category 12 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,328,Nom. Category 12 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,329,Nom. Category 12 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,330,Nom. Category 12 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,331,Nom. Category 12 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,332,Nom. Category 13 - page copy,Category title,Text,Kannada - one line,Current: Excellent aduaya eclipse (placeholder - confirm actual title),
Stage 2 - Voting opens,333,Nom. Category 13 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,334,Nom. Category 13 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,335,Nom. Category 13 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,336,Nom. Category 13 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,337,Nom. Category 13 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,338,Nom. Category 13 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,339,Nom. Category 13 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,340,Nom. Category 13 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,341,Nom. Category 13 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,342,Nom. Category 13 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,343,Nom. Category 13 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,344,Nom. Category 13 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,345,Nom. Category 13 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,346,Nom. Category 14 - page copy,Category title,Text,Kannada - one line,Current: Best picture of the year,
Stage 2 - Voting opens,347,Nom. Category 14 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,348,Nom. Category 14 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,349,Nom. Category 14 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,350,Nom. Category 14 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,351,Nom. Category 14 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,352,Nom. Category 14 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,353,Nom. Category 14 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,354,Nom. Category 14 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,355,Nom. Category 14 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,356,Nom. Category 14 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,357,Nom. Category 14 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,358,Nom. Category 14 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,359,Nom. Category 14 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,360,Nom. Category 15 - page copy,Category title,Text,Kannada - one line,Current: Excellent construction design,
Stage 2 - Voting opens,361,Nom. Category 15 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,362,Nom. Category 15 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,363,Nom. Category 15 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,364,Nom. Category 15 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,365,Nom. Category 15 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,366,Nom. Category 15 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,367,Nom. Category 15 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,368,Nom. Category 15 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,369,Nom. Category 15 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,370,Nom. Category 15 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,371,Nom. Category 15 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,372,Nom. Category 15 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,373,Nom. Category 15 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,374,Nom. Category 16 - page copy,Category title,Text,Kannada - one line,Current: VFX / SFX / Post Production and Animation Excellence,
Stage 2 - Voting opens,375,Nom. Category 16 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,376,Nom. Category 16 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,377,Nom. Category 16 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,378,Nom. Category 16 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,379,Nom. Category 16 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,380,Nom. Category 16 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,381,Nom. Category 16 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,382,Nom. Category 16 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,383,Nom. Category 16 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,384,Nom. Category 16 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,385,Nom. Category 16 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,386,Nom. Category 16 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,387,Nom. Category 16 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,388,Nom. Category 17 - page copy,Category title,Text,Kannada - one line,Current: Excellent soundtrack and sound design,
Stage 2 - Voting opens,389,Nom. Category 17 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,390,Nom. Category 17 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,391,Nom. Category 17 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,392,Nom. Category 17 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,393,Nom. Category 17 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,394,Nom. Category 17 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,395,Nom. Category 17 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,396,Nom. Category 17 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,397,Nom. Category 17 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,398,Nom. Category 17 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,399,Nom. Category 17 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,400,Nom. Category 17 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,401,Nom. Category 17 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,402,Nom. Category 18 - page copy,Category title,Text,Kannada - one line,Current: Best picture with social impact,
Stage 2 - Voting opens,403,Nom. Category 18 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,404,Nom. Category 18 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,405,Nom. Category 18 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,406,Nom. Category 18 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,407,Nom. Category 18 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,408,Nom. Category 18 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,409,Nom. Category 18 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,410,Nom. Category 18 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,411,Nom. Category 18 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,412,Nom. Category 18 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,413,Nom. Category 18 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,414,Nom. Category 18 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,415,Nom. Category 18 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,416,Nom. Category 19 - page copy,Category title,Text,Kannada - one line,Current: Excellent dance direction,
Stage 2 - Voting opens,417,Nom. Category 19 - page copy,Category description,Text,Kannada - 1-2 sentences,,
Stage 2 - Voting opens,418,Nom. Category 19 - nominees,Nominee 1 - name,Text,Kannada,,
Stage 2 - Voting opens,419,Nom. Category 19 - nominees,Nominee 1 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,420,Nom. Category 19 - nominees,Nominee 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,421,Nom. Category 19 - nominees,Nominee 2 - name,Text,Kannada,,
Stage 2 - Voting opens,422,Nom. Category 19 - nominees,Nominee 2 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,423,Nom. Category 19 - nominees,Nominee 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,424,Nom. Category 19 - nominees,Nominee 3 - name,Text,Kannada,,
Stage 2 - Voting opens,425,Nom. Category 19 - nominees,Nominee 3 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,426,Nom. Category 19 - nominees,Nominee 3 - photo,Image URL,Portrait - min 400x560px,,
Stage 2 - Voting opens,427,Nom. Category 19 - nominees,Nominee 4 - name,Text,Kannada,,
Stage 2 - Voting opens,428,Nom. Category 19 - nominees,Nominee 4 - description,Text,Kannada - 1-2 lines,,
Stage 2 - Voting opens,429,Nom. Category 19 - nominees,Nominee 4 - photo,Image URL,Portrait - min 400x560px,,
Stage 3 - Post-vote,430,Winners,Category 1 - confirmed winner name,Text,Kannada,Must match a nominee name exactly,
Stage 3 - Post-vote,431,Winners,Category 2 - confirmed winner name,Text,Kannada,Must match a nominee name exactly,
Stage 3 - Post-vote,432,Winners,Category 3 - confirmed winner name,Text,Kannada,Must match a nominee name exactly,
Stage 3 - Post-vote,433,Winners,Category 4 - confirmed winner name,Text,Kannada,Must match a nominee name exactly,
Stage 3 - Post-vote,434,Winners,Special recognition 1 - award title,Text,Kannada or English,,
Stage 3 - Post-vote,435,Winners,Special recognition 1 - winner name,Text,Kannada,,
Stage 3 - Post-vote,436,Winners,Special recognition 1 - description,Text,Kannada - 1-2 lines,,
Stage 3 - Post-vote,437,Winners,Special recognition 1 - photo,Image URL,Portrait - min 400x560px,,
Stage 3 - Post-vote,438,Winners,Special recognition 2 - award title,Text,Kannada or English,,
Stage 3 - Post-vote,439,Winners,Special recognition 2 - winner name,Text,Kannada,,
Stage 3 - Post-vote,440,Winners,Special recognition 2 - description,Text,Kannada - 1-2 lines,,
Stage 3 - Post-vote,441,Winners,Special recognition 2 - photo,Image URL,Portrait - min 400x560px,,
Stage 3 - Post-vote,442,Winners page - UI copy,Page eyebrow,Text,Kannada - 1 word,Current: Winners,
Stage 3 - Post-vote,443,Winners page - UI copy,Page heading (post-vote),Text,Kannada - one line,Current: The winners are in,
Stage 3 - Post-vote,444,Winners page - UI copy,Page heading (preview mode),Text,Kannada - one line,Current: Winner preview,
Stage 3 - Post-vote,445,Winners page - UI copy,Page description,Text,Kannada - 1 sentence,Current: The winners page shows the public category results and the additional recognition cards.,
Stage 3 - Post-vote,446,Winners page - UI copy,Public winners eyebrow,Text,Kannada - 1-2 words,Current: Public winners,
Stage 3 - Post-vote,447,Winners page - UI copy,Browse nominations button,Text,Kannada - 2-3 words,Current: Browse nominations,
Stage 3 - Post-vote,448,Winners page - UI copy,Back to home button,Text,Kannada - 2-3 words,Current: Back to home,
